rank,opportunity_id,entity_id,entity_name,sector,product,observed_activity_zar,share_p50,wallet_p10_zar,wallet_p50_zar,wallet_p90_zar,gap_p10_zar,gap_p50_zar,gap_p90_zar,confidence,confidence_label,timing_score,fit_score,top10_probability,priority_score,anchor_active,anchor_name,anchor_fact_ids,prior_wallet_p10_zar,prior_wallet_p50_zar,prior_wallet_p90_zar,prior_relative_interval_width,anchored_relative_interval_width,relative_interval_width_reduction,confidence_before_anchor,confidence_lift
84,E10-collections,E10,Bid Corporation,consumer,Collections,3299371889.19,0.434195,5552770622.6,7598826600.42,11801073215.43,0.0,0.0,199624.22,0.689258,Medium,0.59665,1.0,0.0,0.0,False,,,5552770622.6,7598826600.42,11801073215.43,0.822272,0.822272,0.0,0.689258,0.0
85,E10-payments,E10,Bid Corporation,consumer,Payments,9281806459.16,0.417381,16134456732.96,22238199381.78,34214872258.43,0.0,0.0,407834.91,0.698811,Medium,0.590551,1.0,0.0,0.0,False,,,16134456732.96,22238199381.78,34214872258.43,0.813034,0.813034,0.0,0.698811,0.0
86,E11-collections,E11,Pepkor Holdings,consumer,Collections,9333614298.64,0.44508,15638460935.94,20970675778.26,31968252070.04,0.0,0.0,550279.93,0.722396,Medium,0.58306,1.0,0.0,0.0,False,,,15638460935.94,20970675778.26,31968252070.04,0.778696,0.778696,0.0,0.722396,0.0
87,E11-payments,E11,Pepkor Holdings,consumer,Payments,23988481713.61,0.419245,41040381839.98,57218336225.85,88274396967.29,0.0,0.0,1066384.73,0.722494,Medium,0.581999,1.0,0.0,0.0,False,,,41040381839.98,57218336225.85,88274396967.29,0.825505,0.825505,0.0,0.722494,0.0
88,E12-collections,E12,Clicks Group,consumer,Collections,68673182.91,0.414669,117393194.24,165609467.12,264473172.81,0.0,0.0,5318.62,0.7203,Medium,0.551771,1.0,0.0,0.0,False,,,117393194.24,165609467.12,264473172.81,0.888113,0.888113,0.0,0.7203,0.0
89,E13-collections,E13,NEPI Rockcastle,real_estate,Collections,16004453.53,0.411225,27754088.97,38918961.54,63899921.47,0.0,0.0,1339.12,0.691833,Medium,0.510025,0.86,0.0,0.0,False,,,27754088.97,38918961.54,63899921.47,0.928746,0.928746,0.0,0.691833,0.0
90,E14-collections,E14,Prosus,tech,Collections,503675527.22,0.418616,861859931.73,1203192837.66,1923540047.02,0.0,0.0,37395.44,0.72267,Medium,0.572373,0.86,0.0,0.0,False,,,861859931.73,1203192837.66,1923540047.02,0.882386,0.882386,0.0,0.72267,0.0
91,E14-payments,E14,Prosus,tech,Payments,1381684662.08,0.403926,2446160748.3,3420637869.49,5483696417.2,0.0,0.0,76127.36,0.719693,Medium,0.562668,0.9,0.0,0.0,False,,,2446160748.3,3420637869.49,5483696417.2,0.888003,0.888003,0.0,0.719693,0.0
92,E15-collections,E15,Naspers,tech,Collections,359520820.35,0.414456,607462294.16,867451487.95,1342721562.5,0.0,0.0,25740.49,0.720509,Medium,0.622752,0.86,0.0,0.0,False,,,607462294.16,867451487.95,1342721562.5,0.847609,0.847609,0.0,0.720509,0.0
93,E15-payments,E15,Naspers,tech,Payments,1067403466.3,0.399419,1901486452.39,2672391503.79,4298657073.81,0.0,0.0,57231.46,0.708334,Medium,0.618084,0.9,0.0,0.0,False,,,1901486452.39,2672391503.79,4298657073.81,0.897013,0.897013,0.0,0.708334,0.0
94,E16-collections,E16,MTN Group,telecoms,Collections,2616710862.21,0.438736,4353896626.62,5964208885.55,9296851484.26,0.0,0.0,156536.22,0.721148,Medium,0.576191,0.92,0.0,0.0,False,,,4353896626.62,5964208885.55,9296851484.26,0.82877,0.82877,0.0,0.721148,0.0
95,E16-payments,E16,MTN Group,telecoms,Payments,7554265622.22,0.41621,12856632914.5,18150114098.01,28353794969.24,0.0,0.0,366874.53,0.723046,Medium,0.581539,0.94,0.0,0.0,False,,,12856632914.5,18150114098.01,28353794969.24,0.853833,0.853833,0.0,0.723046,0.0
96,E17-collections,E17,Vodacom Group,telecoms,Collections,85039956.71,0.415255,145887744.45,204789863.77,323952706.71,0.0,0.0,6599.52,0.717152,Medium,0.624897,0.92,0.0,0.0,False,,,145887744.45,204789863.77,323952706.71,0.869501,0.869501,0.0,0.717152,0.0
97,E18-collections,E18,The Bidvest Group,industrials_pharma,Collections,1241040470.66,0.428518,2098036911.54,2896124379.49,4578547941.85,0.0,0.0,79561.66,0.700013,Medium,0.566251,0.83,0.0,0.0,False,,,2098036911.54,2896124379.49,4578547941.85,0.856493,0.856493,0.0,0.700013,0.0
98,E18-payments,E18,The Bidvest Group,industrials_pharma,Payments,3384008828.95,0.416049,5821571758.47,8133672278.6,12686633420.31,0.0,0.0,150392.38,0.710992,Medium,0.566439,0.96,0.0,0.0,False,,,5821571758.47,8133672278.6,12686633420.31,0.84403,0.84403,0.0,0.710992,0.0
99,E19-collections,E19,Aspen Pharmacare,industrials_pharma,Collections,866514826.6,0.417178,1518950074.44,2077087175.49,3269575572.63,0.0,0.0,63819.59,0.697986,Medium,0.587409,0.83,0.0,0.0,False,,,1518950074.44,2077087175.49,3269575572.63,0.842827,0.842827,0.0,0.697986,0.0
100,E20-collections,E20,Shaftesbury Capital plc,real_estate,Collections,5709543.52,0.406405,9890393.79,14048901.55,22454780.79,0.0,0.0,462.5,0.706459,Medium,0.544194,0.86,0.0,0.0,False,,,9890393.79,14048901.55,22454780.79,0.894332,0.894332,0.0,0.706459,0.0
